,Fall 12,Fall 15,Nov 17,Fall 09,Spr 99,Updated,Format,Dec 17,Fall 04,Fall 05,Spr 06,Hol 17,Fall 11,Fall 07,Mar 18,Spr 09,Population,Spr 05,Spr 17,Fall 99,Spr 13,Spr 16,Station URL,Spr 15,Spr 04,Black,Fall 13,Feb 18,Fall 10,Fall 01,Spr 14,Fall 03,State,Spr 01,Sum 17,Win 18,Win 04,Fall 06,Rank,Win 17,Spr 10,Sum 04,Fall 08,Jan 18,Spr 08,Fall 16,Hispanic,Owner,Spr 12,Spr 11,Spr 02,Spr 07,Fall 17,Fall 00,Fall 14,Station,Market Name,Twitter Handles,Followers Count,Friends Count,Listed Count,Created At,Favourites Count,Verified,Statuses Count
530,,--,,,,1-25-2017,Classic Hits,,,,,,,,,,208200,,--,,,--,http://www.wmxe.net/,,,14100,,,,,,,WV,,,,,,196,,,,,,,--,2300,LM Communications,,,,,0.5,,,WWQB-FM,Charleston,['wmxe1009themix?lang=en'],,,,,,,
531,,,6.9,,,4-18-2018,Classic Rock,6.9,,,,6.5,,,7.3,,2304300,,,,,,http://www.wrfx.com/,,,527500,,7,,,,,NC,,,,,,24,,,,,6.5,,,199200,iHeartMedia,,,,,,,,WRFX-FM,Charlotte-Gastonia-Rock Hill,['997thefox'],1835,1135,33,2010-01-28 22:29:48,210,False,16979
532,,,6.1,,,4-18-2018,Urban AC,6.4,,,,6.5,,,6.8,,2304300,,,,,,http://www.v1019.com/,,,527500,,7.4,,,,,NC,,,,,,24,,,,,6.5,,,199200,Beasley,,,,,,,,WBAV-FM,Charlotte-Gastonia-Rock Hill,['V1019fm'],4297,1632,76,2009-03-24 17:26:33,611,False,22107
533,,,6.1,,,4-18-2018,Country,5.2,,,,5,,,6.8,,2304300,,,,,,http://www.wkktfm.com/,,,527500,,6.2,,,,,NC,,,,,,24,,,,,6.9,,,199200,iHeartMedia,,,,,,,,WKKT-FM,Charlotte-Gastonia-Rock Hill,['969thekat'],9077,4949,132,2009-06-03 14:17:38,1770,True,22339
534,,,5.7,,,4-18-2018,Country,6,,,,6.1,,,6.3,,2304300,,,,,,http://www.wsocfm.com/,,,527500,,6.2,,,,,NC,,,,,,24,,,,,6.4,,,199200,Beasley,,,,,,,,WSOC-FM,Charlotte-Gastonia-Rock Hill,[None],,,,,,,
535,,,5.4,,,4-18-2018,Hot AC,5.4,,,,4.4,,,5.5,,2304300,,,,,,http://www.1079thelink.com/,,,527500,,5.1,,,,,NC,,,,,,24,,,,,4.7,,,199200,Entercom,,,,,,,,WLNK-FM,Charlotte-Gastonia-Rock Hill,['1079thelink'],4854,2928,69,2008-10-07 13:36:31,3191,True,15674
536,,,4,,,4-18-2018,AC,7,,,,11,,,5.2,,2304300,,,,,,http://www.k1047.com/,,,527500,,6.3,,,,,NC,,,,,,24,,,,,6,,,199200,Beasley,,,,,,,,WKQC-FM,Charlotte-Gastonia-Rock Hill,['1079thelink'],4854,2928,69,2008-10-07 13:36:31,3191,True,15674
537,,,5.9,,,4-18-2018,Urban Oldies,4.8,,,,4.4,,,4.9,,2304300,,,,,,http://oldschool1053.com/,,,527500,,4.1,,,,,NC,,,,,,24,,,,,4.3,,,199200,Urban One,,,,,,,,WOSF-FM,Charlotte-Gastonia-Rock Hill,['oldschool1053'],3477,2966,40,2009-10-28 04:25:02,86,False,31671
538,,,4.9,,,4-18-2018,Adult Hits,7.2,,,,6.5,,,4.6,,2304300,,,,,,http://www.1029thelake.com/,,,527500,,4.2,,,,,NC,,,,,,24,,,,,4.3,,,199200,iHeartMedia,,,,,,,,WLKO-FM,Charlotte-Gastonia-Rock Hill,['1029thelake'],2305,1857,26,2012-07-02 03:07:49,317,False,24642
539,,,3.9,,,4-18-2018,Alternative,3.6,,,,3.6,,,4.3,,2304300,,,,,,http://www.1065.com/,,,527500,,3.8,,,,,NC,,,,,,24,,,,,4.3,,,199200,iHeartMedia,,,,,,,,WEND-FM,Charlotte-Gastonia-Rock Hill,['1065theend'],11751,7467,149,2009-02-24 16:24:41,3507,True,21246
